reward,step_time,total_stopped,total_wait_time
18.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,18.0
-18.0,25.0,6,48.0
-30.0,30.0,4,56.0
-8.0,35.0,8,47.0
9.0,40.0,8,50.0
-3.0,45.0,12,91.0
-41.0,50.0,6,107.0
-16.0,55.0,20,115.0
-8.0,60.0,7,124.0
-9.0,65.0,8,113.0
11.0,70.0,5,86.0
27.0,75.0,11,102.0
-16.0,80.0,10,137.0
-35.0,85.0,8,123.0
14.0,90.0,12,146.0
-23.0,95.0,7,140.0
6.0,100.0,12,97.0
43.0,105.0,2,73.0
24.0,110.0,10,63.0
10.0,115.0,9,108.0
-45.0,120.0,7,96.0
12.0,125.0,11,113.0
-17.0,130.0,8,124.0
-11.0,135.0,9,156.0
-32.0,140.0,4,132.0
24.0,145.0,16,68.0
64.0,150.0,9,95.0
-27.0,155.0,5,94.0
1.0,160.0,4,68.0
26.0,165.0,10,109.0
-41.0,170.0,11,161.0
-52.0,175.0,8,153.0
8.0,180.0,9,136.0
17.0,185.0,10,147.0
-11.0,190.0,16,166.0
-19.0,195.0,8,164.0
2.0,200.0,12,180.0
-16.0,205.0,12,206.0
-26.0,210.0,12,188.0
18.0,215.0,14,170.0
18.0,220.0,12,186.0
-16.0,225.0,10,196.0
-10.0,230.0,10,202.0
-6.0,235.0,23,226.0
-24.0,240.0,16,244.0
-18.0,245.0,13,253.0
-9.0,250.0,14,237.0
16.0,255.0,14,253.0
-16.0,260.0,15,252.0
1.0,265.0,18,267.0
-15.0,270.0,18,308.0
-41.0,275.0,17,323.0
-15.0,280.0,18,333.0
-10.0,285.0,15,335.0
-2.0,290.0,16,294.0
41.0,295.0,14,295.0
-1.0,300.0,16,320.0
-25.0,305.0,16,330.0
-10.0,310.0,17,366.0
-36.0,315.0,21,418.0
-52.0,320.0,15,429.0
-11.0,325.0,27,403.0
26.0,330.0,18,413.0
-10.0,335.0,17,429.0
-16.0,340.0,22,440.0
-11.0,345.0,21,481.0
-41.0,350.0,22,509.0
-28.0,355.0,17,528.0
-19.0,360.0,21,546.0
-18.0,365.0,21,527.0
19.0,370.0,23,501.0
26.0,375.0,21,547.0
-46.0,380.0,24,604.0
-57.0,385.0,21,620.0
-16.0,390.0,23,614.0
6.0,395.0,26,683.0
-69.0,400.0,20,669.0
14.0,405.0,21,597.0
72.0,410.0,21,588.0
9.0,415.0,29,524.0
64.0,420.0,18,483.0
41.0,425.0,17,470.0
13.0,430.0,20,506.0
-36.0,435.0,17,490.0
16.0,440.0,15,483.0
7.0,445.0,19,481.0
2.0,450.0,21,415.0
66.0,455.0,18,421.0
-6.0,460.0,22,396.0
25.0,465.0,17,422.0
-26.0,470.0,17,429.0
-7.0,475.0,12,391.0
38.0,480.0,15,329.0
62.0,485.0,15,320.0
9.0,490.0,13,289.0
31.0,495.0,11,273.0
16.0,500.0,11,244.0
29.0,505.0,23,245.0
-1.0,510.0,14,275.0
-30.0,515.0,13,259.0
16.0,520.0,14,243.0
16.0,525.0,12,248.0
-5.0,530.0,11,209.0
39.0,535.0,7,207.0
2.0,540.0,13,201.0
6.0,545.0,9,183.0
18.0,550.0,12,181.0
2.0,555.0,11,206.0
-25.0,560.0,17,256.0
-50.0,565.0,18,338.0
-82.0,570.0,13,338.0
0.0,575.0,15,330.0
8.0,580.0,14,313.0
17.0,585.0,11,295.0
18.0,590.0,13,264.0
31.0,595.0,27,253.0
11.0,600.0,16,282.0
-29.0,605.0,15,310.0
-28.0,610.0,12,306.0
4.0,615.0,13,291.0
15.0,620.0,14,248.0
43.0,625.0,12,237.0
11.0,630.0,13,243.0
-6.0,635.0,17,280.0
-37.0,640.0,18,285.0
-5.0,645.0,14,316.0
-31.0,650.0,21,357.0
-41.0,655.0,17,390.0
-33.0,660.0,18,417.0
-27.0,665.0,18,395.0
22.0,670.0,15,379.0
16.0,675.0,18,341.0
38.0,680.0,14,341.0
0.0,685.0,26,367.0
-26.0,690.0,15,380.0
-13.0,695.0,14,347.0
33.0,700.0,15,310.0
37.0,705.0,16,334.0
-24.0,710.0,16,317.0
17.0,715.0,14,314.0
3.0,720.0,16,343.0
-29.0,725.0,19,373.0
-30.0,730.0,17,399.0
-26.0,735.0,16,380.0
19.0,740.0,21,374.0
6.0,745.0,17,383.0
-9.0,750.0,14,303.0
80.0,755.0,13,297.0
6.0,760.0,17,286.0
11.0,765.0,16,328.0
-42.0,770.0,11,321.0
7.0,775.0,22,274.0
47.0,780.0,16,297.0
-23.0,785.0,12,309.0
-12.0,790.0,10,285.0
24.0,795.0,10,228.0
57.0,800.0,11,145.0
83.0,805.0,10,144.0
1.0,810.0,14,164.0
-20.0,815.0,11,181.0
-17.0,820.0,17,205.0
-24.0,825.0,12,230.0
-25.0,830.0,16,250.0
-20.0,835.0,10,226.0
24.0,840.0,13,262.0
-36.0,845.0,17,302.0
-40.0,850.0,12,312.0
-10.0,855.0,10,272.0
40.0,860.0,11,218.0
54.0,865.0,20,229.0
-11.0,870.0,10,216.0
13.0,875.0,10,177.0
39.0,880.0,8,163.0
14.0,885.0,12,171.0
-8.0,890.0,14,203.0
-32.0,895.0,14,241.0
-38.0,900.0,11,268.0
-27.0,905.0,13,287.0
-19.0,910.0,13,281.0
6.0,915.0,10,241.0
40.0,920.0,15,187.0
54.0,925.0,10,183.0
