reward,step_time,total_stopped,total_wait_time
-3.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,6,16.0
-16.0,25.0,10,36.0
-20.0,30.0,3,40.0
-4.0,35.0,6,34.0
6.0,40.0,10,76.0
-42.0,45.0,6,90.0
-14.0,50.0,5,74.0
16.0,55.0,12,99.0
-25.0,60.0,5,82.0
17.0,65.0,6,61.0
21.0,70.0,8,101.0
-40.0,75.0,6,120.0
-19.0,80.0,8,152.0
-32.0,85.0,15,144.0
8.0,90.0,12,169.0
-25.0,95.0,9,173.0
-4.0,100.0,11,196.0
-23.0,105.0,8,147.0
49.0,110.0,10,130.0
17.0,115.0,15,141.0
-11.0,120.0,9,170.0
-29.0,125.0,9,174.0
-4.0,130.0,8,142.0
32.0,135.0,9,171.0
-29.0,140.0,11,211.0
-40.0,145.0,19,226.0
-15.0,150.0,9,191.0
35.0,155.0,9,132.0
59.0,160.0,13,151.0
-19.0,165.0,11,187.0
-36.0,170.0,7,176.0
11.0,175.0,11,188.0
-12.0,180.0,11,240.0
-52.0,185.0,12,296.0
-56.0,190.0,9,323.0
-27.0,195.0,9,241.0
82.0,200.0,12,163.0
78.0,205.0,17,209.0
-46.0,210.0,12,241.0
-32.0,215.0,14,279.0
-38.0,220.0,11,296.0
-17.0,225.0,8,258.0
38.0,230.0,8,254.0
4.0,235.0,14,286.0
-32.0,240.0,10,192.0
94.0,245.0,12,191.0
1.0,250.0,16,241.0
-50.0,255.0,12,275.0
-34.0,260.0,10,274.0
1.0,265.0,11,268.0
6.0,270.0,16,267.0
1.0,275.0,12,308.0
-41.0,280.0,9,320.0
-12.0,285.0,11,355.0
-35.0,290.0,8,227.0
128.0,295.0,14,134.0
93.0,300.0,9,145.0
-11.0,305.0,12,168.0
-23.0,310.0,14,234.0
-66.0,315.0,11,256.0
-22.0,320.0,8,233.0
23.0,325.0,16,250.0
-17.0,330.0,12,304.0
-54.0,335.0,9,325.0
-21.0,340.0,7,232.0
93.0,345.0,12,268.0
-36.0,350.0,12,247.0
21.0,355.0,16,196.0
51.0,360.0,14,225.0
-29.0,365.0,12,217.0
8.0,370.0,12,249.0
-32.0,375.0,8,244.0
5.0,380.0,14,244.0
0.0,385.0,14,207.0
37.0,390.0,12,232.0
-25.0,395.0,10,243.0
-11.0,400.0,11,274.0
-31.0,405.0,11,217.0
57.0,410.0,10,186.0
31.0,415.0,18,227.0
-41.0,420.0,13,246.0
-19.0,425.0,15,308.0
-62.0,430.0,9,322.0
-14.0,435.0,12,277.0
45.0,440.0,13,249.0
28.0,445.0,15,261.0
-12.0,450.0,17,290.0
-29.0,455.0,14,331.0
-41.0,460.0,11,324.0
