reward,step_time,total_stopped,total_wait_time
-41.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,4,7.0
-7.0,25.0,10,32.0
-25.0,30.0,6,43.0
-11.0,35.0,10,88.0
-45.0,40.0,12,140.0
-52.0,45.0,8,146.0
-6.0,50.0,4,96.0
50.0,55.0,12,87.0
9.0,60.0,6,75.0
12.0,65.0,10,95.0
-20.0,70.0,6,97.0
-2.0,75.0,9,112.0
-15.0,80.0,7,123.0
-11.0,85.0,9,104.0
19.0,90.0,10,127.0
-23.0,95.0,9,143.0
-16.0,100.0,9,178.0
-35.0,105.0,6,122.0
56.0,110.0,8,94.0
28.0,115.0,13,144.0
-50.0,120.0,8,152.0
-8.0,125.0,6,124.0
28.0,130.0,10,147.0
-23.0,135.0,6,149.0
-2.0,140.0,8,167.0
-18.0,145.0,21,225.0
-58.0,150.0,12,173.0
52.0,155.0,12,180.0
-7.0,160.0,10,197.0
-17.0,165.0,11,184.0
13.0,170.0,9,193.0
-9.0,175.0,16,169.0
24.0,180.0,15,216.0
-47.0,185.0,12,230.0
-14.0,190.0,13,265.0
-35.0,195.0,14,330.0
-65.0,200.0,13,327.0
3.0,205.0,16,284.0
43.0,210.0,12,328.0
-44.0,215.0,10,296.0
32.0,220.0,13,252.0
44.0,225.0,16,332.0
-80.0,230.0,16,288.0
44.0,235.0,24,312.0
-24.0,240.0,16,358.0
-46.0,245.0,10,331.0
27.0,250.0,13,275.0
56.0,255.0,16,290.0
-15.0,260.0,13,255.0
35.0,265.0,14,229.0
26.0,270.0,15,268.0
-39.0,275.0,10,267.0
1.0,280.0,12,240.0
27.0,285.0,9,185.0
55.0,290.0,10,213.0
-28.0,295.0,13,225.0
-12.0,300.0,8,190.0
35.0,305.0,16,185.0
5.0,310.0,20,281.0
-96.0,315.0,16,340.0
-59.0,320.0,11,323.0
17.0,325.0,22,318.0
5.0,330.0,18,312.0
6.0,335.0,17,348.0
-36.0,340.0,11,312.0
36.0,345.0,11,277.0
35.0,350.0,14,233.0
44.0,355.0,19,251.0
-18.0,360.0,15,280.0
-29.0,365.0,13,271.0
9.0,370.0,13,275.0
-4.0,375.0,9,259.0
16.0,380.0,16,243.0
16.0,385.0,17,291.0
-48.0,390.0,14,307.0
-16.0,395.0,14,368.0
-61.0,400.0,11,391.0
-23.0,405.0,10,321.0
70.0,410.0,12,367.0
-46.0,415.0,20,393.0
-26.0,420.0,13,339.0
54.0,425.0,17,326.0
13.0,430.0,20,315.0
11.0,435.0,20,369.0
-54.0,440.0,16,384.0
-15.0,445.0,19,419.0
-35.0,450.0,18,424.0
-5.0,455.0,17,390.0
34.0,460.0,17,391.0
-1.0,465.0,13,445.0
-54.0,470.0,15,470.0
-25.0,475.0,16,431.0
39.0,480.0,15,370.0
61.0,485.0,16,263.0
107.0,490.0,17,305.0
-42.0,495.0,12,322.0
-17.0,500.0,18,340.0
-18.0,505.0,26,391.0
-51.0,510.0,13,394.0
-3.0,515.0,14,418.0
-24.0,520.0,15,354.0
64.0,525.0,20,378.0
-24.0,530.0,15,450.0
-72.0,535.0,16,462.0
-12.0,540.0,15,405.0
57.0,545.0,18,320.0
85.0,550.0,17,364.0
-44.0,555.0,11,357.0
7.0,560.0,17,371.0
-14.0,565.0,16,355.0
16.0,570.0,13,258.0
97.0,575.0,16,286.0
-28.0,580.0,13,329.0
-43.0,585.0,10,285.0
44.0,590.0,14,239.0
46.0,595.0,19,279.0
-40.0,600.0,11,275.0
4.0,605.0,13,289.0
-14.0,610.0,9,284.0
5.0,615.0,13,236.0
48.0,620.0,16,257.0
-21.0,625.0,19,279.0
