reward,step_time,total_stopped,total_wait_time
-41.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,5,13.0
-13.0,25.0,12,51.0
-38.0,30.0,8,72.0
-21.0,35.0,12,118.0
-46.0,40.0,6,128.0
-10.0,45.0,6,101.0
27.0,50.0,6,115.0
-14.0,55.0,12,85.0
30.0,60.0,10,84.0
1.0,65.0,8,83.0
1.0,70.0,10,107.0
-24.0,75.0,7,114.0
-7.0,80.0,5,91.0
23.0,85.0,10,104.0
-13.0,90.0,10,140.0
-36.0,95.0,8,112.0
28.0,100.0,8,118.0
-6.0,105.0,10,152.0
-34.0,110.0,8,130.0
22.0,115.0,11,145.0
-15.0,120.0,7,141.0
4.0,125.0,11,174.0
-33.0,130.0,9,200.0
-26.0,135.0,11,244.0
-44.0,140.0,8,204.0
40.0,145.0,18,150.0
54.0,150.0,14,171.0
-21.0,155.0,10,192.0
-21.0,160.0,9,185.0
7.0,165.0,9,160.0
25.0,170.0,11,170.0
-10.0,175.0,16,198.0
-28.0,180.0,13,229.0
-31.0,185.0,10,222.0
7.0,190.0,8,168.0
54.0,195.0,12,154.0
14.0,200.0,12,193.0
-39.0,205.0,13,209.0
-16.0,210.0,9,207.0
2.0,215.0,15,220.0
-13.0,220.0,15,180.0
40.0,225.0,13,213.0
-33.0,230.0,7,199.0
14.0,235.0,16,195.0
4.0,240.0,10,192.0
3.0,245.0,12,207.0
-15.0,250.0,13,250.0
-43.0,255.0,12,284.0
-34.0,260.0,14,238.0
46.0,265.0,16,258.0
-20.0,270.0,14,297.0
-39.0,275.0,16,343.0
-46.0,280.0,14,367.0
-24.0,285.0,15,390.0
-23.0,290.0,19,480.0
-90.0,295.0,19,462.0
18.0,300.0,16,415.0
47.0,305.0,15,436.0
-21.0,310.0,15,428.0
8.0,315.0,11,353.0
75.0,320.0,16,298.0
55.0,325.0,22,341.0
-43.0,330.0,14,354.0
-13.0,335.0,11,354.0
0.0,340.0,15,344.0
10.0,345.0,15,293.0
51.0,350.0,15,339.0
-46.0,355.0,15,341.0
-2.0,360.0,14,370.0
-29.0,365.0,12,345.0
25.0,370.0,15,302.0
43.0,375.0,19,346.0
-44.0,380.0,18,385.0
-39.0,385.0,22,397.0
-12.0,390.0,17,437.0
-40.0,395.0,13,422.0
15.0,400.0,11,350.0
72.0,405.0,14,261.0
89.0,410.0,14,286.0
-25.0,415.0,16,288.0
-2.0,420.0,11,271.0
17.0,425.0,14,233.0
38.0,430.0,16,290.0
-57.0,435.0,13,315.0
-25.0,440.0,15,360.0
-45.0,445.0,14,377.0
-17.0,450.0,18,407.0
-30.0,455.0,15,372.0
35.0,460.0,14,287.0
85.0,465.0,11,319.0
-32.0,470.0,13,316.0
3.0,475.0,15,347.0
-31.0,480.0,13,412.0
-65.0,485.0,12,337.0
75.0,490.0,12,344.0
-7.0,495.0,15,337.0
7.0,500.0,13,387.0
-50.0,505.0,19,390.0
-3.0,510.0,17,406.0
-16.0,515.0,16,412.0
-6.0,520.0,12,438.0
-26.0,525.0,15,446.0
-8.0,530.0,12,367.0
79.0,535.0,21,354.0
13.0,540.0,17,404.0
-50.0,545.0,15,419.0
-15.0,550.0,11,417.0
2.0,555.0,13,356.0
61.0,560.0,18,406.0
-50.0,565.0,17,414.0
-8.0,570.0,18,409.0
5.0,575.0,21,474.0
-65.0,580.0,16,498.0
-24.0,585.0,12,419.0
79.0,590.0,14,271.0
148.0,595.0,21,299.0
-28.0,600.0,16,342.0
-43.0,605.0,15,352.0
-10.0,610.0,14,361.0
-9.0,615.0,18,375.0
-14.0,620.0,17,435.0
-60.0,625.0,18,461.0
