reward,step_time,total_stopped,total_wait_time
21.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,4,11.0
-11.0,25.0,4,31.0
-20.0,30.0,4,36.0
-5.0,35.0,0,16.0
20.0,40.0,6,22.0
-6.0,45.0,8,54.0
-32.0,50.0,8,94.0
-40.0,55.0,21,150.0
-56.0,60.0,8,168.0
-18.0,65.0,11,160.0
8.0,70.0,8,166.0
-6.0,75.0,14,206.0
-40.0,80.0,16,280.0
-74.0,85.0,10,256.0
24.0,90.0,16,231.0
25.0,95.0,16,311.0
-80.0,100.0,17,312.0
-1.0,105.0,13,296.0
16.0,110.0,14,247.0
49.0,115.0,15,269.0
-22.0,120.0,11,253.0
16.0,125.0,16,244.0
9.0,130.0,13,246.0
-2.0,135.0,11,188.0
58.0,140.0,11,193.0
-5.0,145.0,17,187.0
6.0,150.0,15,251.0
-64.0,155.0,11,263.0
-12.0,160.0,11,222.0
41.0,165.0,14,264.0
-42.0,170.0,8,242.0
22.0,175.0,10,206.0
36.0,180.0,16,184.0
22.0,185.0,16,264.0
-80.0,190.0,22,350.0
-86.0,195.0,12,338.0
12.0,200.0,18,332.0
6.0,205.0,20,426.0
-94.0,210.0,16,450.0
-24.0,215.0,15,413.0
37.0,220.0,16,369.0
44.0,225.0,13,261.0
108.0,230.0,13,228.0
33.0,235.0,21,256.0
-28.0,240.0,12,245.0
11.0,245.0,18,266.0
-21.0,250.0,13,292.0
-26.0,255.0,15,289.0
3.0,260.0,16,338.0
-49.0,265.0,10,342.0
-4.0,270.0,11,296.0
46.0,275.0,9,220.0
76.0,280.0,12,125.0
95.0,285.0,10,168.0
-43.0,290.0,10,156.0
12.0,295.0,8,156.0
0.0,300.0,10,158.0
-2.0,305.0,16,201.0
-43.0,310.0,10,205.0
-4.0,315.0,10,181.0
24.0,320.0,5,143.0
38.0,325.0,17,94.0
49.0,330.0,11,132.0
-38.0,335.0,11,171.0
-39.0,340.0,14,229.0
-58.0,345.0,10,242.0
-13.0,350.0,8,201.0
41.0,355.0,5,134.0
67.0,360.0,11,80.0
54.0,365.0,11,135.0
-55.0,370.0,13,150.0
-15.0,375.0,8,149.0
1.0,380.0,14,207.0
-58.0,385.0,10,202.0
5.0,390.0,8,158.0
44.0,395.0,12,171.0
-13.0,400.0,14,241.0
-70.0,405.0,15,314.0
-73.0,410.0,10,286.0
28.0,415.0,22,251.0
35.0,420.0,12,238.0
13.0,425.0,15,249.0
-11.0,430.0,10,232.0
17.0,435.0,12,170.0
62.0,440.0,14,191.0
-21.0,445.0,8,192.0
-1.0,450.0,12,165.0
27.0,455.0,10,155.0
10.0,460.0,18,163.0
-8.0,465.0,14,233.0
-70.0,470.0,14,248.0
-15.0,475.0,17,275.0
-27.0,480.0,12,292.0
-17.0,485.0,9,268.0
24.0,490.0,13,218.0
50.0,495.0,10,204.0
14.0,500.0,10,153.0
51.0,505.0,18,157.0
-4.0,510.0,11,194.0
-37.0,515.0,16,210.0
-16.0,520.0,14,242.0
-32.0,525.0,16,267.0
-25.0,530.0,14,260.0
7.0,535.0,13,285.0
-25.0,540.0,18,292.0
-7.0,545.0,18,367.0
-75.0,550.0,23,465.0
-98.0,555.0,15,464.0
1.0,560.0,18,483.0
-19.0,565.0,16,460.0
23.0,570.0,13,393.0
67.0,575.0,19,311.0
82.0,580.0,20,384.0
-73.0,585.0,18,381.0
3.0,590.0,17,335.0
46.0,595.0,27,369.0
-34.0,600.0,17,369.0
0.0,605.0,14,358.0
11.0,610.0,12,281.0
77.0,615.0,15,317.0
-36.0,620.0,19,350.0
-33.0,625.0,14,369.0
-19.0,630.0,18,381.0
-12.0,635.0,19,454.0
-73.0,640.0,22,551.0
-97.0,645.0,17,519.0
32.0,650.0,17,434.0
85.0,655.0,15,395.0
39.0,660.0,15,331.0
64.0,665.0,20,396.0
-65.0,670.0,15,403.0
-7.0,675.0,13,331.0
72.0,680.0,13,311.0
20.0,685.0,19,323.0
-12.0,690.0,12,306.0
17.0,695.0,8,229.0
77.0,700.0,10,129.0
100.0,705.0,13,165.0
-36.0,710.0,10,184.0
-19.0,715.0,9,182.0
2.0,720.0,9,164.0
18.0,725.0,9,166.0
-2.0,730.0,10,121.0
45.0,735.0,7,79.0
42.0,740.0,12,130.0
-51.0,745.0,8,144.0
-14.0,750.0,9,159.0
-15.0,755.0,10,138.0
21.0,760.0,11,158.0
-20.0,765.0,8,147.0
11.0,770.0,6,96.0
51.0,775.0,17,98.0
-2.0,780.0,11,142.0
-44.0,785.0,9,147.0
-5.0,790.0,9,115.0
32.0,795.0,11,142.0
-27.0,800.0,15,204.0
-62.0,805.0,10,201.0
3.0,810.0,13,156.0
45.0,815.0,13,187.0
-31.0,820.0,12,198.0
-11.0,825.0,8,168.0
30.0,830.0,11,157.0
11.0,835.0,14,173.0
-16.0,840.0,15,248.0
-75.0,845.0,16,255.0
-7.0,850.0,14,282.0
-27.0,855.0,15,272.0
10.0,860.0,16,342.0
-70.0,865.0,21,360.0
-18.0,870.0,17,406.0
-46.0,875.0,13,378.0
28.0,880.0,7,250.0
128.0,885.0,12,188.0
62.0,890.0,9,155.0
33.0,895.0,11,140.0
15.0,900.0,13,177.0
-37.0,905.0,14,238.0
-61.0,910.0,14,249.0
-11.0,915.0,14,290.0
-41.0,920.0,12,274.0
16.0,925.0,7,157.0
117.0,930.0,9,148.0
9.0,935.0,8,148.0
0.0,940.0,10,163.0
-15.0,945.0,10,195.0
-32.0,950.0,12,255.0
-60.0,955.0,19,213.0
42.0,960.0,9,143.0
70.0,965.0,12,195.0
-52.0,970.0,9,201.0
-6.0,975.0,13,229.0
