reward,step_time,total_stopped,total_wait_time
-47.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,21.0
-21.0,25.0,6,51.0
-30.0,30.0,6,64.0
-13.0,35.0,11,97.0
-33.0,40.0,6,105.0
-8.0,45.0,7,100.0
5.0,50.0,6,78.0
22.0,55.0,20,102.0
-24.0,60.0,12,162.0
-60.0,65.0,10,191.0
-29.0,70.0,10,192.0
-1.0,75.0,13,205.0
-13.0,80.0,15,270.0
-65.0,85.0,15,345.0
-75.0,90.0,14,362.0
-17.0,95.0,12,310.0
52.0,100.0,19,322.0
-12.0,105.0,17,343.0
-21.0,110.0,15,314.0
29.0,115.0,18,294.0
20.0,120.0,15,309.0
-15.0,125.0,16,296.0
13.0,130.0,13,303.0
-7.0,135.0,14,277.0
26.0,140.0,15,318.0
-41.0,145.0,21,358.0
-40.0,150.0,13,372.0
-14.0,155.0,9,299.0
73.0,160.0,12,164.0
135.0,165.0,9,148.0
16.0,170.0,14,178.0
-30.0,175.0,12,210.0
-32.0,180.0,12,194.0
16.0,185.0,11,189.0
5.0,190.0,16,202.0
-13.0,195.0,15,250.0
-48.0,200.0,18,316.0
-66.0,205.0,14,330.0
-14.0,210.0,12,313.0
17.0,215.0,11,313.0
0.0,220.0,19,364.0
-51.0,225.0,17,395.0
-31.0,230.0,17,377.0
18.0,235.0,24,312.0
65.0,240.0,17,318.0
-6.0,245.0,14,328.0
-10.0,250.0,13,288.0
40.0,255.0,15,274.0
14.0,260.0,16,236.0
38.0,265.0,11,248.0
-12.0,270.0,15,269.0
-21.0,275.0,17,354.0
-85.0,280.0,17,366.0
-12.0,285.0,10,307.0
59.0,290.0,15,318.0
-11.0,295.0,16,394.0
-76.0,300.0,11,340.0
54.0,305.0,12,229.0
111.0,310.0,14,266.0
-37.0,315.0,17,341.0
-75.0,320.0,11,343.0
-2.0,325.0,24,312.0
31.0,330.0,17,386.0
-74.0,335.0,12,339.0
47.0,340.0,11,329.0
10.0,345.0,14,301.0
28.0,350.0,11,253.0
48.0,355.0,11,184.0
69.0,360.0,17,236.0
-52.0,365.0,11,230.0
6.0,370.0,17,235.0
-5.0,375.0,14,301.0
-66.0,380.0,13,309.0
-8.0,385.0,12,277.0
32.0,390.0,10,237.0
40.0,395.0,12,125.0
112.0,400.0,13,158.0
-33.0,405.0,15,230.0
-72.0,410.0,10,240.0
-10.0,415.0,21,214.0
26.0,420.0,10,182.0
32.0,425.0,15,188.0
-6.0,430.0,13,198.0
-10.0,435.0,18,265.0
-67.0,440.0,15,292.0
-27.0,445.0,13,291.0
1.0,450.0,15,274.0
17.0,455.0,10,217.0
57.0,460.0,14,219.0
-2.0,465.0,7,180.0
39.0,470.0,12,133.0
47.0,475.0,13,194.0
-61.0,480.0,16,272.0
-78.0,485.0,13,280.0
-8.0,490.0,14,262.0
18.0,495.0,11,218.0
44.0,500.0,12,204.0
14.0,505.0,26,281.0
-77.0,510.0,12,277.0
4.0,515.0,10,213.0
64.0,520.0,12,212.0
1.0,525.0,10,222.0
-10.0,530.0,9,189.0
33.0,535.0,6,138.0
51.0,540.0,10,89.0
49.0,545.0,11,144.0
-55.0,550.0,15,151.0
-7.0,555.0,7,156.0
-5.0,560.0,13,169.0
-13.0,565.0,9,161.0
8.0,570.0,8,131.0
30.0,575.0,12,166.0
-35.0,580.0,8,157.0
9.0,585.0,10,150.0
7.0,590.0,6,149.0
1.0,595.0,18,151.0
-2.0,600.0,6,123.0
28.0,605.0,10,111.0
12.0,610.0,6,96.0
15.0,615.0,10,117.0
-21.0,620.0,12,128.0
-11.0,625.0,14,187.0
-59.0,630.0,20,271.0
-84.0,635.0,20,371.0
-100.0,640.0,22,407.0
-36.0,645.0,15,405.0
2.0,650.0,18,379.0
26.0,655.0,14,348.0
31.0,660.0,14,314.0
34.0,665.0,18,353.0
-39.0,670.0,20,412.0
-59.0,675.0,16,382.0
30.0,680.0,13,394.0
-12.0,685.0,24,389.0
5.0,690.0,10,323.0
66.0,695.0,14,265.0
58.0,700.0,10,208.0
57.0,705.0,13,166.0
42.0,710.0,13,187.0
-21.0,715.0,9,166.0
21.0,720.0,15,158.0
8.0,725.0,15,219.0
-61.0,730.0,14,236.0
-17.0,735.0,8,213.0
23.0,740.0,14,251.0
-38.0,745.0,6,218.0
33.0,750.0,7,176.0
42.0,755.0,11,133.0
43.0,760.0,9,121.0
12.0,765.0,9,134.0
-13.0,770.0,10,170.0
-36.0,775.0,18,180.0
-10.0,780.0,7,162.0
18.0,785.0,14,160.0
2.0,790.0,15,228.0
-68.0,795.0,13,243.0
-15.0,800.0,11,218.0
25.0,805.0,12,266.0
-48.0,810.0,18,341.0
-75.0,815.0,13,325.0
16.0,820.0,16,310.0
15.0,825.0,9,245.0
65.0,830.0,12,275.0
-30.0,835.0,18,351.0
-76.0,840.0,15,376.0
-25.0,845.0,15,402.0
-26.0,850.0,14,407.0
-5.0,855.0,11,326.0
81.0,860.0,12,213.0
113.0,865.0,23,208.0
5.0,870.0,14,242.0
-34.0,875.0,15,267.0
-25.0,880.0,17,289.0
-22.0,885.0,20,363.0
-74.0,890.0,18,385.0
-22.0,895.0,13,354.0
31.0,900.0,16,378.0
-24.0,905.0,16,391.0
-13.0,910.0,17,336.0
55.0,915.0,14,261.0
75.0,920.0,15,269.0
-8.0,925.0,14,224.0
45.0,930.0,12,224.0
0.0,935.0,18,266.0
-42.0,940.0,14,294.0
-28.0,945.0,11,267.0
27.0,950.0,13,286.0
-19.0,955.0,25,297.0
-11.0,960.0,16,305.0
-8.0,965.0,14,282.0
23.0,970.0,15,265.0
17.0,975.0,19,265.0
0.0,980.0,17,299.0
-34.0,985.0,13,279.0
20.0,990.0,14,268.0
11.0,995.0,12,236.0
32.0,1000.0,14,204.0
32.0,1005.0,17,239.0
-35.0,1010.0,17,263.0
-24.0,1015.0,17,291.0
-28.0,1020.0,15,305.0
-14.0,1025.0,16,331.0
-26.0,1030.0,15,336.0
-5.0,1035.0,14,275.0
61.0,1040.0,16,308.0
-33.0,1045.0,23,339.0
-31.0,1050.0,12,314.0
25.0,1055.0,16,295.0
19.0,1060.0,19,375.0
-80.0,1065.0,16,411.0
-36.0,1070.0,12,376.0
35.0,1075.0,14,312.0
64.0,1080.0,21,382.0
-70.0,1085.0,16,401.0
-19.0,1090.0,17,363.0
38.0,1095.0,11,310.0
53.0,1100.0,12,225.0
85.0,1105.0,16,206.0
19.0,1110.0,11,219.0
-13.0,1115.0,11,201.0
18.0,1120.0,14,233.0
-32.0,1125.0,11,213.0
20.0,1130.0,11,195.0
18.0,1135.0,18,204.0
-9.0,1140.0,10,186.0
18.0,1145.0,7,144.0
42.0,1150.0,8,98.0
46.0,1155.0,11,138.0
-40.0,1160.0,13,194.0
-56.0,1165.0,8,184.0
10.0,1170.0,11,114.0
70.0,1175.0,12,173.0
-59.0,1180.0,11,169.0
4.0,1185.0,6,124.0
45.0,1190.0,12,148.0
-24.0,1195.0,9,183.0
-35.0,1200.0,6,151.0
32.0,1205.0,7,117.0
