reward,step_time,total_stopped,total_wait_time
-40.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,6,20.0
-20.0,25.0,10,41.0
-21.0,30.0,10,83.0
-42.0,35.0,12,139.0
-56.0,40.0,10,151.0
-12.0,45.0,6,124.0
27.0,50.0,3,80.0
44.0,55.0,13,58.0
22.0,60.0,7,74.0
-16.0,65.0,5,63.0
11.0,70.0,6,84.0
-21.0,75.0,6,75.0
9.0,80.0,10,120.0
-45.0,85.0,16,175.0
-55.0,90.0,11,189.0
-14.0,95.0,9,210.0
-21.0,100.0,8,204.0
6.0,105.0,8,139.0
65.0,110.0,9,135.0
4.0,115.0,12,147.0
-12.0,120.0,8,169.0
-22.0,125.0,6,137.0
32.0,130.0,6,92.0
45.0,135.0,8,75.0
17.0,140.0,6,88.0
-13.0,145.0,15,101.0
-13.0,150.0,4,89.0
12.0,155.0,6,94.0
-5.0,160.0,7,66.0
28.0,165.0,8,86.0
-20.0,170.0,8,73.0
13.0,175.0,15,116.0
-43.0,180.0,9,139.0
-23.0,185.0,8,132.0
7.0,190.0,3,100.0
32.0,195.0,7,88.0
12.0,200.0,10,61.0
27.0,205.0,11,78.0
-17.0,210.0,8,75.0
3.0,215.0,10,114.0
-39.0,220.0,10,129.0
-15.0,225.0,6,128.0
1.0,230.0,8,127.0
1.0,235.0,12,99.0
28.0,240.0,6,104.0
-5.0,245.0,6,89.0
15.0,250.0,6,60.0
29.0,255.0,10,94.0
-34.0,260.0,13,157.0
-63.0,265.0,13,185.0
-28.0,270.0,11,179.0
6.0,275.0,8,174.0
5.0,280.0,13,141.0
33.0,285.0,13,185.0
-44.0,290.0,9,187.0
-2.0,295.0,17,204.0
-17.0,300.0,12,240.0
-36.0,305.0,9,233.0
7.0,310.0,12,251.0
-18.0,315.0,8,216.0
35.0,320.0,13,197.0
19.0,325.0,19,162.0
35.0,330.0,18,209.0
-47.0,335.0,14,251.0
-42.0,340.0,9,221.0
30.0,345.0,10,204.0
17.0,350.0,11,156.0
48.0,355.0,13,175.0
-19.0,360.0,10,179.0
-4.0,365.0,9,153.0
26.0,370.0,14,155.0
-2.0,375.0,13,196.0
-41.0,380.0,12,212.0
-16.0,385.0,13,171.0
41.0,390.0,11,163.0
8.0,395.0,14,150.0
13.0,400.0,12,186.0
-36.0,405.0,10,185.0
1.0,410.0,10,206.0
-21.0,415.0,13,190.0
16.0,420.0,15,182.0
8.0,425.0,13,199.0
-17.0,430.0,15,200.0
-1.0,435.0,12,236.0
-36.0,440.0,10,229.0
7.0,445.0,11,163.0
66.0,450.0,14,147.0
16.0,455.0,13,151.0
-4.0,460.0,12,180.0
-29.0,465.0,7,168.0
12.0,470.0,12,153.0
15.0,475.0,10,154.0
-1.0,480.0,4,117.0
37.0,485.0,8,103.0
14.0,490.0,7,74.0
29.0,495.0,10,111.0
-37.0,500.0,9,131.0
-20.0,505.0,16,153.0
-22.0,510.0,8,156.0
-3.0,515.0,8,179.0
-23.0,520.0,5,167.0
12.0,525.0,10,175.0
-8.0,530.0,7,114.0
61.0,535.0,12,95.0
19.0,540.0,7,109.0
-14.0,545.0,7,96.0
13.0,550.0,9,87.0
9.0,555.0,13,148.0
-61.0,560.0,12,174.0
-26.0,565.0,16,187.0
-13.0,570.0,12,205.0
-18.0,575.0,8,165.0
40.0,580.0,8,155.0
10.0,585.0,12,149.0
6.0,590.0,9,167.0
-18.0,595.0,15,170.0
-3.0,600.0,11,197.0
-27.0,605.0,7,157.0
40.0,610.0,12,131.0
26.0,615.0,14,197.0
-66.0,620.0,11,213.0
-16.0,625.0,16,205.0
8.0,630.0,13,220.0
-15.0,635.0,8,195.0
25.0,640.0,8,145.0
50.0,645.0,10,154.0
-9.0,650.0,10,163.0
-9.0,655.0,12,167.0
-4.0,660.0,11,168.0
-1.0,665.0,15,206.0
-38.0,670.0,14,242.0
-36.0,675.0,12,255.0
-13.0,680.0,14,272.0
-17.0,685.0,24,327.0
-55.0,690.0,13,362.0
-35.0,695.0,11,292.0
70.0,700.0,13,267.0
25.0,705.0,19,247.0
20.0,710.0,17,309.0
-62.0,715.0,15,345.0
-36.0,720.0,12,339.0
6.0,725.0,13,306.0
33.0,730.0,15,341.0
-35.0,735.0,12,367.0
-26.0,740.0,13,302.0
65.0,745.0,18,299.0
3.0,750.0,17,334.0
-35.0,755.0,19,389.0
-55.0,760.0,19,433.0
-44.0,765.0,17,478.0
-45.0,770.0,13,493.0
-15.0,775.0,22,496.0
-3.0,780.0,18,486.0
10.0,785.0,16,415.0
71.0,790.0,17,462.0
-47.0,795.0,16,478.0
-16.0,800.0,17,506.0
-28.0,805.0,19,473.0
33.0,810.0,17,430.0
43.0,815.0,19,359.0
71.0,820.0,18,371.0
-12.0,825.0,17,344.0
27.0,830.0,14,358.0
-14.0,835.0,14,343.0
15.0,840.0,8,259.0
84.0,845.0,13,269.0
-10.0,850.0,16,307.0
-38.0,855.0,14,339.0
-32.0,860.0,12,336.0
3.0,865.0,20,351.0
-15.0,870.0,12,307.0
44.0,875.0,16,330.0
-23.0,880.0,16,305.0
25.0,885.0,19,276.0
29.0,890.0,15,304.0
-28.0,895.0,13,306.0
-2.0,900.0,9,249.0
57.0,905.0,11,171.0
78.0,910.0,11,173.0
-2.0,915.0,8,169.0
4.0,920.0,14,208.0
-39.0,925.0,13,220.0
-12.0,930.0,13,234.0
-14.0,935.0,14,203.0
31.0,940.0,12,244.0
-41.0,945.0,11,271.0
-27.0,950.0,7,210.0
61.0,955.0,18,170.0
40.0,960.0,12,212.0
-42.0,965.0,12,242.0
-30.0,970.0,7,228.0
14.0,975.0,12,212.0
16.0,980.0,12,266.0
-54.0,985.0,14,199.0
67.0,990.0,13,200.0
-1.0,995.0,11,220.0
-20.0,1000.0,6,190.0
30.0,1005.0,6,124.0
66.0,1010.0,10,122.0
2.0,1015.0,12,144.0
-22.0,1020.0,6,127.0
17.0,1025.0,4,87.0
40.0,1030.0,9,52.0
35.0,1035.0,5,68.0
-16.0,1040.0,4,54.0
14.0,1045.0,14,63.0
-9.0,1050.0,8,97.0
-34.0,1055.0,4,97.0
0.0,1060.0,9,67.0
30.0,1065.0,12,126.0
-59.0,1070.0,10,133.0
-7.0,1075.0,16,183.0
-50.0,1080.0,12,197.0
-14.0,1085.0,12,205.0
-8.0,1090.0,8,169.0
36.0,1095.0,5,134.0
35.0,1100.0,13,133.0
1.0,1105.0,16,152.0
-19.0,1110.0,12,163.0
-11.0,1115.0,8,137.0
26.0,1120.0,10,141.0
-4.0,1125.0,9,146.0
-5.0,1130.0,12,139.0
7.0,1135.0,16,160.0
-21.0,1140.0,13,193.0
-33.0,1145.0,13,207.0
-14.0,1150.0,11,209.0
-2.0,1155.0,13,219.0
-10.0,1160.0,11,252.0
