reward,step_time,total_stopped,total_wait_time
0.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,4,10.0
-10.0,25.0,8,17.0
-7.0,30.0,5,39.0
-22.0,35.0,9,72.0
-33.0,40.0,12,124.0
-52.0,45.0,7,135.0
-11.0,50.0,4,109.0
26.0,55.0,14,131.0
-22.0,60.0,4,92.0
39.0,65.0,7,101.0
-9.0,70.0,14,157.0
-56.0,75.0,14,227.0
-70.0,80.0,10,260.0
-33.0,85.0,12,255.0
5.0,90.0,14,297.0
-42.0,95.0,10,278.0
19.0,100.0,9,219.0
59.0,105.0,10,235.0
-16.0,110.0,11,272.0
-37.0,115.0,15,314.0
-42.0,120.0,13,270.0
44.0,125.0,13,192.0
78.0,130.0,14,225.0
-33.0,135.0,10,220.0
5.0,140.0,11,186.0
34.0,145.0,21,202.0
-16.0,150.0,11,226.0
-24.0,155.0,12,240.0
-14.0,160.0,13,281.0
-41.0,165.0,12,293.0
-12.0,170.0,12,283.0
10.0,175.0,16,334.0
-51.0,180.0,11,376.0
-42.0,185.0,11,402.0
-26.0,190.0,12,452.0
-50.0,195.0,10,387.0
65.0,200.0,15,435.0
-48.0,205.0,18,487.0
-52.0,210.0,16,561.0
-74.0,215.0,15,605.0
-44.0,220.0,16,674.0
-69.0,225.0,12,564.0
110.0,230.0,10,370.0
194.0,235.0,15,397.0
-27.0,240.0,12,414.0
-17.0,245.0,13,467.0
-53.0,250.0,9,362.0
105.0,255.0,11,377.0
-15.0,260.0,12,418.0
-41.0,265.0,14,457.0
-39.0,270.0,12,380.0
77.0,275.0,15,381.0
-1.0,280.0,13,282.0
99.0,285.0,10,308.0
-26.0,290.0,11,313.0
-5.0,295.0,15,361.0
-48.0,300.0,13,426.0
-65.0,305.0,17,501.0
-75.0,310.0,14,509.0
-8.0,315.0,13,480.0
29.0,320.0,15,536.0
-56.0,325.0,20,582.0
-46.0,330.0,11,450.0
132.0,335.0,12,233.0
217.0,340.0,11,260.0
-27.0,345.0,13,286.0
-26.0,350.0,14,339.0
-53.0,355.0,14,363.0
-24.0,360.0,15,323.0
40.0,365.0,18,372.0
-49.0,370.0,20,467.0
