reward,step_time,total_stopped,total_wait_time
-53.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,4,11.0
-11.0,25.0,5,32.0
-21.0,30.0,2,31.0
1.0,35.0,3,37.0
-6.0,40.0,8,77.0
-40.0,45.0,5,60.0
17.0,50.0,8,83.0
-23.0,55.0,17,103.0
-20.0,60.0,8,100.0
3.0,65.0,14,148.0
-48.0,70.0,11,167.0
-19.0,75.0,14,185.0
-18.0,80.0,14,209.0
-24.0,85.0,10,207.0
2.0,90.0,10,149.0
58.0,95.0,12,158.0
-9.0,100.0,13,173.0
-15.0,105.0,9,199.0
-26.0,110.0,9,185.0
14.0,115.0,10,152.0
33.0,120.0,11,143.0
9.0,125.0,10,138.0
5.0,130.0,12,172.0
-34.0,135.0,10,170.0
2.0,140.0,8,144.0
26.0,145.0,16,142.0
2.0,150.0,9,126.0
16.0,155.0,8,107.0
19.0,160.0,8,118.0
-11.0,165.0,11,141.0
-23.0,170.0,9,128.0
13.0,175.0,9,159.0
-31.0,180.0,13,210.0
-51.0,185.0,8,194.0
16.0,190.0,14,188.0
6.0,195.0,8,202.0
-14.0,200.0,12,229.0
-27.0,205.0,9,190.0
39.0,210.0,7,88.0
102.0,215.0,11,92.0
-4.0,220.0,10,120.0
-28.0,225.0,10,140.0
-20.0,230.0,11,176.0
-36.0,235.0,22,241.0
-65.0,240.0,10,227.0
14.0,245.0,11,233.0
-6.0,250.0,16,279.0
-46.0,255.0,12,281.0
-2.0,260.0,11,228.0
53.0,265.0,8,194.0
34.0,270.0,14,174.0
20.0,275.0,9,176.0
-2.0,280.0,13,144.0
32.0,285.0,10,174.0
-30.0,290.0,9,174.0
0.0,295.0,6,140.0
34.0,300.0,4,85.0
55.0,305.0,8,88.0
-3.0,310.0,8,95.0
-7.0,315.0,6,102.0
-7.0,320.0,6,114.0
-12.0,325.0,16,116.0
-2.0,330.0,4,108.0
8.0,335.0,10,137.0
-29.0,340.0,12,193.0
-56.0,345.0,12,214.0
-21.0,350.0,11,198.0
16.0,355.0,7,168.0
30.0,360.0,14,169.0
-1.0,365.0,11,151.0
18.0,370.0,16,194.0
-43.0,375.0,8,207.0
-13.0,380.0,12,214.0
-7.0,385.0,9,188.0
26.0,390.0,12,177.0
11.0,395.0,9,161.0
16.0,400.0,10,178.0
-17.0,405.0,13,202.0
-24.0,410.0,8,204.0
-2.0,415.0,18,187.0
17.0,420.0,8,169.0
18.0,425.0,14,171.0
-2.0,430.0,11,165.0
6.0,435.0,13,196.0
-31.0,440.0,10,208.0
-12.0,445.0,9,201.0
7.0,450.0,9,169.0
32.0,455.0,9,140.0
29.0,460.0,11,101.0
39.0,465.0,8,115.0
-14.0,470.0,13,151.0
-36.0,475.0,9,167.0
-16.0,480.0,10,187.0
-20.0,485.0,11,175.0
12.0,490.0,10,160.0
15.0,495.0,13,174.0
-14.0,500.0,10,193.0
-19.0,505.0,22,195.0
-2.0,510.0,13,214.0
-19.0,515.0,15,243.0
-29.0,520.0,15,258.0
-15.0,525.0,16,272.0
-14.0,530.0,12,275.0
-3.0,535.0,13,269.0
6.0,540.0,18,259.0
10.0,545.0,13,287.0
-28.0,550.0,14,274.0
13.0,555.0,13,281.0
-7.0,560.0,19,315.0
-34.0,565.0,17,328.0
-13.0,570.0,12,296.0
32.0,575.0,17,309.0
-13.0,580.0,13,292.0
17.0,585.0,13,289.0
3.0,590.0,13,286.0
3.0,595.0,26,294.0
-8.0,600.0,13,309.0
-15.0,605.0,13,266.0
43.0,610.0,12,276.0
-10.0,615.0,12,258.0
18.0,620.0,16,240.0
18.0,625.0,13,264.0
-24.0,630.0,16,252.0
12.0,635.0,11,240.0
12.0,640.0,16,238.0
2.0,645.0,15,283.0
-45.0,650.0,16,330.0
-47.0,655.0,13,349.0
-19.0,660.0,10,294.0
55.0,665.0,12,267.0
27.0,670.0,13,252.0
15.0,675.0,18,258.0
-6.0,680.0,13,265.0
-7.0,685.0,23,279.0
-14.0,690.0,16,275.0
4.0,695.0,12,266.0
9.0,700.0,14,230.0
36.0,705.0,12,224.0
6.0,710.0,18,230.0
-6.0,715.0,15,248.0
-18.0,720.0,17,279.0
-31.0,725.0,11,290.0
-11.0,730.0,17,260.0
30.0,735.0,12,255.0
5.0,740.0,15,259.0
-4.0,745.0,12,297.0
-38.0,750.0,13,275.0
22.0,755.0,16,286.0
-11.0,760.0,18,348.0
-62.0,765.0,18,389.0
-41.0,770.0,15,384.0
5.0,775.0,27,400.0
-16.0,780.0,18,406.0
-6.0,785.0,14,390.0
16.0,790.0,18,416.0
-26.0,795.0,15,399.0
17.0,800.0,21,378.0
21.0,805.0,18,422.0
-44.0,810.0,20,420.0
2.0,815.0,18,449.0
-29.0,820.0,21,431.0
18.0,825.0,13,397.0
34.0,830.0,15,433.0
-36.0,835.0,18,457.0
-24.0,840.0,16,443.0
14.0,845.0,19,391.0
52.0,850.0,18,400.0
-9.0,855.0,22,414.0
-14.0,860.0,17,451.0
-37.0,865.0,24,438.0
13.0,870.0,17,328.0
110.0,875.0,15,329.0
-1.0,880.0,14,313.0
16.0,885.0,15,312.0
1.0,890.0,21,286.0
26.0,895.0,16,312.0
-26.0,900.0,15,317.0
-5.0,905.0,17,349.0
-32.0,910.0,22,358.0
-9.0,915.0,18,368.0
-10.0,920.0,19,355.0
13.0,925.0,16,372.0
-17.0,930.0,22,415.0
-43.0,935.0,21,423.0
-8.0,940.0,16,451.0
-28.0,945.0,15,462.0
-11.0,950.0,18,442.0
20.0,955.0,30,481.0
-39.0,960.0,20,482.0
-1.0,965.0,20,489.0
-7.0,970.0,23,522.0
-33.0,975.0,23,541.0
-19.0,980.0,20,523.0
18.0,985.0,23,499.0
24.0,990.0,24,507.0
-8.0,995.0,21,531.0
-24.0,1000.0,24,507.0
24.0,1005.0,18,521.0
-14.0,1010.0,23,527.0
-6.0,1015.0,22,510.0
17.0,1020.0,23,486.0
24.0,1025.0,23,498.0
-12.0,1030.0,16,508.0
-10.0,1035.0,23,519.0
-11.0,1040.0,22,556.0
-37.0,1045.0,28,567.0
-11.0,1050.0,19,513.0
54.0,1055.0,17,524.0
-11.0,1060.0,18,495.0
29.0,1065.0,18,491.0
4.0,1070.0,16,468.0
23.0,1075.0,16,450.0
18.0,1080.0,23,471.0
-21.0,1085.0,25,543.0
-72.0,1090.0,25,593.0
-50.0,1095.0,22,607.0
-14.0,1100.0,24,609.0
-2.0,1105.0,26,587.0
22.0,1110.0,23,629.0
-42.0,1115.0,21,612.0
17.0,1120.0,20,599.0
13.0,1125.0,25,561.0
38.0,1130.0,21,570.0
-9.0,1135.0,30,552.0
18.0,1140.0,19,559.0
-7.0,1145.0,16,486.0
73.0,1150.0,19,519.0
-33.0,1155.0,22,551.0
-32.0,1160.0,19,546.0
5.0,1165.0,18,564.0
-18.0,1170.0,22,543.0
21.0,1175.0,20,590.0
-47.0,1180.0,22,633.0
-43.0,1185.0,15,598.0
35.0,1190.0,19,561.0
37.0,1195.0,20,481.0
80.0,1200.0,17,445.0
36.0,1205.0,20,457.0
-12.0,1210.0,20,439.0
18.0,1215.0,19,440.0
-1.0,1220.0,16,454.0
-14.0,1225.0,29,441.0
13.0,1230.0,18,439.0
2.0,1235.0,20,442.0
-3.0,1240.0,23,472.0
-30.0,1245.0,18,515.0
-43.0,1250.0,25,569.0
-54.0,1255.0,21,591.0
-22.0,1260.0,23,621.0
-30.0,1265.0,22,611.0
10.0,1270.0,23,586.0
25.0,1275.0,17,513.0
73.0,1280.0,17,460.0
53.0,1285.0,22,422.0
38.0,1290.0,20,454.0
-32.0,1295.0,20,458.0
-4.0,1300.0,22,479.0
-21.0,1305.0,19,444.0
35.0,1310.0,14,468.0
-24.0,1315.0,29,503.0
-35.0,1320.0,21,526.0
-23.0,1325.0,23,580.0
-54.0,1330.0,21,586.0
-6.0,1335.0,19,543.0
43.0,1340.0,21,444.0
99.0,1345.0,20,465.0
-21.0,1350.0,24,510.0
-45.0,1355.0,23,504.0
6.0,1360.0,24,535.0
-31.0,1365.0,18,504.0
