reward,step_time,total_stopped,total_wait_time
8.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,12.0
-12.0,25.0,7,43.0
-31.0,30.0,10,88.0
-45.0,35.0,10,107.0
-19.0,40.0,12,149.0
-42.0,45.0,9,155.0
-6.0,50.0,7,134.0
21.0,55.0,17,110.0
24.0,60.0,8,106.0
4.0,65.0,12,152.0
-46.0,70.0,10,168.0
-16.0,75.0,12,165.0
3.0,80.0,16,190.0
-25.0,85.0,14,240.0
-50.0,90.0,20,328.0
-88.0,95.0,14,353.0
-25.0,100.0,17,331.0
22.0,105.0,11,297.0
34.0,110.0,13,226.0
71.0,115.0,15,208.0
18.0,120.0,9,214.0
-6.0,125.0,13,200.0
14.0,130.0,12,187.0
13.0,135.0,15,206.0
-19.0,140.0,17,273.0
-67.0,145.0,30,375.0
-102.0,150.0,17,401.0
-26.0,155.0,16,424.0
-23.0,160.0,16,409.0
15.0,165.0,15,403.0
6.0,170.0,14,330.0
73.0,175.0,15,300.0
30.0,180.0,16,296.0
4.0,185.0,18,279.0
17.0,190.0,20,303.0
-24.0,195.0,12,269.0
34.0,200.0,17,286.0
-17.0,205.0,13,311.0
-25.0,210.0,13,308.0
3.0,215.0,16,280.0
28.0,220.0,16,254.0
26.0,225.0,19,337.0
-83.0,230.0,19,432.0
-95.0,235.0,27,473.0
-41.0,240.0,14,447.0
26.0,245.0,20,384.0
63.0,250.0,18,416.0
-32.0,255.0,17,414.0
2.0,260.0,15,341.0
73.0,265.0,13,322.0
19.0,270.0,17,309.0
13.0,275.0,13,305.0
4.0,280.0,19,319.0
-14.0,285.0,15,309.0
10.0,290.0,20,381.0
-72.0,295.0,16,392.0
-11.0,300.0,16,409.0
-17.0,305.0,16,414.0
-5.0,310.0,9,367.0
47.0,315.0,15,307.0
60.0,320.0,13,298.0
9.0,325.0,22,236.0
62.0,330.0,12,243.0
-7.0,335.0,13,260.0
-17.0,340.0,13,273.0
-13.0,345.0,17,300.0
-27.0,350.0,19,368.0
-68.0,355.0,16,405.0
-37.0,360.0,19,398.0
7.0,365.0,15,389.0
9.0,370.0,16,370.0
19.0,375.0,14,356.0
14.0,380.0,15,389.0
-33.0,385.0,17,402.0
-13.0,390.0,20,427.0
-25.0,395.0,24,499.0
-72.0,400.0,21,517.0
-18.0,405.0,20,455.0
62.0,410.0,16,469.0
-14.0,415.0,28,520.0
-51.0,420.0,20,540.0
-20.0,425.0,20,592.0
-52.0,430.0,20,658.0
-66.0,435.0,24,640.0
18.0,440.0,20,690.0
-50.0,445.0,19,679.0
11.0,450.0,26,652.0
27.0,455.0,24,614.0
38.0,460.0,24,657.0
-43.0,465.0,21,665.0
-8.0,470.0,24,647.0
18.0,475.0,22,593.0
54.0,480.0,21,604.0
-11.0,485.0,24,553.0
51.0,490.0,19,537.0
16.0,495.0,22,493.0
44.0,500.0,19,501.0
-8.0,505.0,30,492.0
9.0,510.0,19,492.0
0.0,515.0,20,523.0
-31.0,520.0,22,497.0
26.0,525.0,20,533.0
-36.0,530.0,21,559.0
-26.0,535.0,16,548.0
11.0,540.0,22,525.0
23.0,545.0,18,486.0
39.0,550.0,22,388.0
98.0,555.0,15,358.0
30.0,560.0,14,392.0
-34.0,565.0,17,404.0
-12.0,570.0,20,495.0
-91.0,575.0,20,499.0
-4.0,580.0,15,440.0
59.0,585.0,15,430.0
10.0,590.0,17,459.0
-29.0,595.0,29,500.0
-41.0,600.0,19,478.0
22.0,605.0,21,409.0
69.0,610.0,23,468.0
-59.0,615.0,20,508.0
-40.0,620.0,16,489.0
19.0,625.0,19,438.0
51.0,630.0,20,466.0
-28.0,635.0,15,462.0
4.0,640.0,19,404.0
58.0,645.0,20,424.0
-20.0,650.0,21,446.0
-22.0,655.0,14,358.0
88.0,660.0,12,338.0
20.0,665.0,21,337.0
1.0,670.0,19,365.0
-28.0,675.0,23,415.0
-50.0,680.0,18,441.0
-26.0,685.0,24,404.0
37.0,690.0,13,380.0
24.0,695.0,14,312.0
68.0,700.0,17,311.0
1.0,705.0,18,338.0
-27.0,710.0,16,352.0
-14.0,715.0,12,319.0
33.0,720.0,16,308.0
11.0,725.0,18,374.0
-66.0,730.0,16,414.0
-40.0,735.0,13,389.0
25.0,740.0,18,366.0
23.0,745.0,20,457.0
-91.0,750.0,16,426.0
31.0,755.0,16,343.0
83.0,760.0,18,402.0
-59.0,765.0,16,396.0
6.0,770.0,11,312.0
84.0,775.0,24,285.0
27.0,780.0,12,270.0
15.0,785.0,10,204.0
66.0,790.0,10,188.0
16.0,795.0,13,222.0
-34.0,800.0,13,204.0
18.0,805.0,10,211.0
-7.0,810.0,14,193.0
18.0,815.0,15,255.0
-62.0,820.0,15,249.0
6.0,825.0,11,261.0
-12.0,830.0,15,274.0
-13.0,835.0,11,246.0
28.0,840.0,15,254.0
-8.0,845.0,15,246.0
8.0,850.0,15,226.0
20.0,855.0,13,254.0
-28.0,860.0,9,235.0
19.0,865.0,22,200.0
35.0,870.0,11,203.0
-3.0,875.0,12,201.0
2.0,880.0,17,229.0
-28.0,885.0,17,269.0
-40.0,890.0,14,261.0
8.0,895.0,14,281.0
-20.0,900.0,17,291.0
-10.0,905.0,14,263.0
28.0,910.0,20,313.0
-50.0,915.0,11,328.0
-15.0,920.0,14,337.0
-9.0,925.0,10,293.0
44.0,930.0,12,201.0
92.0,935.0,11,183.0
18.0,940.0,12,171.0
12.0,945.0,11,183.0
-12.0,950.0,10,192.0
-9.0,955.0,18,187.0
5.0,960.0,10,160.0
27.0,965.0,7,138.0
22.0,970.0,10,130.0
8.0,975.0,15,197.0
-67.0,980.0,13,206.0
-9.0,985.0,10,234.0
-28.0,990.0,12,228.0
6.0,995.0,13,200.0
28.0,1000.0,14,183.0
17.0,1005.0,13,198.0
-15.0,1010.0,12,206.0
-8.0,1015.0,9,147.0
59.0,1020.0,10,167.0
-20.0,1025.0,10,149.0
18.0,1030.0,9,152.0
-3.0,1035.0,9,130.0
22.0,1040.0,9,154.0
-24.0,1045.0,18,149.0
5.0,1050.0,12,163.0
-14.0,1055.0,16,228.0
-65.0,1060.0,13,239.0
-11.0,1065.0,14,252.0
-13.0,1070.0,11,236.0
16.0,1075.0,13,240.0
-4.0,1080.0,14,229.0
11.0,1085.0,11,162.0
67.0,1090.0,17,191.0
-29.0,1095.0,11,189.0
2.0,1100.0,12,192.0
-3.0,1105.0,11,167.0
25.0,1110.0,10,145.0
22.0,1115.0,14,182.0
-37.0,1120.0,16,261.0
-79.0,1125.0,19,347.0
-86.0,1130.0,13,342.0
5.0,1135.0,26,335.0
7.0,1140.0,14,337.0
-2.0,1145.0,13,286.0
51.0,1150.0,12,258.0
28.0,1155.0,12,196.0
62.0,1160.0,13,209.0
-13.0,1165.0,18,279.0
-70.0,1170.0,18,322.0
-43.0,1175.0,18,392.0
-70.0,1180.0,26,496.0
-104.0,1185.0,18,513.0
-17.0,1190.0,15,496.0
17.0,1195.0,13,417.0
79.0,1200.0,14,368.0
49.0,1205.0,16,301.0
67.0,1210.0,18,306.0
-5.0,1215.0,15,319.0
-13.0,1220.0,13,287.0
32.0,1225.0,24,310.0
-23.0,1230.0,12,310.0
0.0,1235.0,18,327.0
-17.0,1240.0,14,353.0
-26.0,1245.0,15,337.0
16.0,1250.0,12,278.0
59.0,1255.0,12,192.0
86.0,1260.0,17,245.0
-53.0,1265.0,12,259.0
-14.0,1270.0,15,222.0
37.0,1275.0,13,242.0
-20.0,1280.0,11,253.0
-11.0,1285.0,10,289.0
-36.0,1290.0,10,255.0
34.0,1295.0,12,252.0
3.0,1300.0,12,227.0
25.0,1305.0,14,245.0
-18.0,1310.0,8,262.0
-17.0,1315.0,21,222.0
40.0,1320.0,14,184.0
38.0,1325.0,16,256.0
-72.0,1330.0,13,293.0
-37.0,1335.0,15,330.0
-37.0,1340.0,16,395.0
-65.0,1345.0,11,383.0
12.0,1350.0,12,292.0
91.0,1355.0,11,312.0
-20.0,1360.0,15,254.0
58.0,1365.0,12,133.0
121.0,1370.0,17,211.0
-78.0,1375.0,12,243.0
-32.0,1380.0,11,245.0
-2.0,1385.0,14,219.0
26.0,1390.0,14,280.0
-61.0,1395.0,15,299.0
-19.0,1400.0,13,291.0
8.0,1405.0,20,266.0
25.0,1410.0,15,222.0
44.0,1415.0,13,230.0
-8.0,1420.0,10,187.0
43.0,1425.0,14,203.0
-16.0,1430.0,16,276.0
-73.0,1435.0,10,275.0
1.0,1440.0,13,228.0
47.0,1445.0,13,261.0
-33.0,1450.0,14,258.0
3.0,1455.0,13,267.0
-9.0,1460.0,12,299.0
-32.0,1465.0,11,237.0
62.0,1470.0,11,154.0
83.0,1475.0,13,156.0
-2.0,1480.0,13,187.0
-31.0,1485.0,12,195.0
-8.0,1490.0,9,161.0
34.0,1495.0,22,211.0
-50.0,1500.0,12,220.0
-9.0,1505.0,12,203.0
17.0,1510.0,10,209.0
-6.0,1515.0,14,208.0
1.0,1520.0,16,267.0
-59.0,1525.0,11,299.0
-32.0,1530.0,14,281.0
18.0,1535.0,16,291.0
-10.0,1540.0,16,266.0
25.0,1545.0,12,216.0
50.0,1550.0,17,286.0
-70.0,1555.0,20,375.0
-89.0,1560.0,15,383.0
-8.0,1565.0,16,330.0
53.0,1570.0,13,327.0
3.0,1575.0,13,262.0
65.0,1580.0,14,255.0
7.0,1585.0,21,274.0
-19.0,1590.0,12,259.0
15.0,1595.0,16,303.0
-44.0,1600.0,10,264.0
39.0,1605.0,13,220.0
44.0,1610.0,11,244.0
-24.0,1615.0,8,197.0
47.0,1620.0,16,168.0
29.0,1625.0,11,204.0
-36.0,1630.0,15,206.0
-2.0,1635.0,8,163.0
43.0,1640.0,12,194.0
-31.0,1645.0,13,200.0
-6.0,1650.0,11,205.0
-5.0,1655.0,14,184.0
21.0,1660.0,14,251.0
-67.0,1665.0,13,268.0
-17.0,1670.0,11,243.0
25.0,1675.0,20,247.0
-4.0,1680.0,11,218.0
29.0,1685.0,12,249.0
-31.0,1690.0,16,278.0
-29.0,1695.0,15,332.0
-54.0,1700.0,19,391.0
