reward,step_time,total_stopped,total_wait_time
0.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,20.0
-20.0,25.0,6,34.0
-14.0,30.0,4,43.0
-9.0,35.0,10,75.0
-32.0,40.0,8,103.0
-28.0,45.0,10,138.0
-35.0,50.0,6,117.0
21.0,55.0,18,133.0
-16.0,60.0,12,193.0
-60.0,65.0,10,193.0
0.0,70.0,8,115.0
78.0,75.0,12,151.0
-36.0,80.0,14,216.0
-65.0,85.0,14,286.0
-70.0,90.0,15,287.0
-1.0,95.0,12,275.0
12.0,100.0,16,215.0
60.0,105.0,12,231.0
-16.0,110.0,14,236.0
-5.0,115.0,16,264.0
-28.0,120.0,12,286.0
-22.0,125.0,14,275.0
11.0,130.0,11,227.0
48.0,135.0,12,158.0
69.0,140.0,7,145.0
13.0,145.0,20,192.0
-47.0,150.0,11,204.0
-12.0,155.0,11,197.0
7.0,160.0,10,200.0
-3.0,165.0,10,185.0
15.0,170.0,14,221.0
-36.0,175.0,13,232.0
-11.0,180.0,17,214.0
18.0,185.0,13,253.0
-39.0,190.0,17,280.0
-27.0,195.0,10,251.0
29.0,200.0,16,235.0
16.0,205.0,10,219.0
16.0,210.0,14,221.0
-2.0,215.0,12,224.0
-3.0,220.0,12,196.0
28.0,225.0,14,239.0
-43.0,230.0,8,224.0
15.0,235.0,16,151.0
73.0,240.0,8,143.0
8.0,245.0,13,195.0
-52.0,250.0,15,263.0
-68.0,255.0,12,269.0
-6.0,260.0,14,285.0
-16.0,265.0,9,271.0
14.0,270.0,12,234.0
37.0,275.0,6,182.0
52.0,280.0,10,94.0
88.0,285.0,8,109.0
-15.0,290.0,14,139.0
-30.0,295.0,13,201.0
-62.0,300.0,11,208.0
-7.0,305.0,11,218.0
-10.0,310.0,11,243.0
-25.0,315.0,13,227.0
16.0,320.0,13,216.0
11.0,325.0,23,234.0
-18.0,330.0,13,191.0
43.0,335.0,15,238.0
-47.0,340.0,15,292.0
-54.0,345.0,16,301.0
-9.0,350.0,14,244.0
57.0,355.0,10,217.0
27.0,360.0,15,248.0
-31.0,365.0,16,275.0
-27.0,370.0,21,356.0
-81.0,375.0,14,344.0
12.0,380.0,18,345.0
-1.0,385.0,12,342.0
3.0,390.0,9,280.0
62.0,395.0,14,336.0
-56.0,400.0,13,303.0
33.0,405.0,16,247.0
56.0,410.0,13,248.0
-1.0,415.0,22,228.0
20.0,420.0,13,213.0
15.0,425.0,12,170.0
43.0,430.0,14,187.0
-17.0,435.0,14,220.0
-33.0,440.0,16,291.0
-71.0,445.0,12,299.0
-8.0,450.0,13,240.0
59.0,455.0,8,187.0
53.0,460.0,15,146.0
41.0,465.0,8,143.0
3.0,470.0,11,156.0
-13.0,475.0,12,175.0
-19.0,480.0,10,174.0
1.0,485.0,16,211.0
-37.0,490.0,11,214.0
-3.0,495.0,9,204.0
10.0,500.0,14,248.0
-44.0,505.0,21,276.0
-28.0,510.0,10,250.0
26.0,515.0,10,182.0
68.0,520.0,8,179.0
3.0,525.0,14,158.0
21.0,530.0,11,170.0
-12.0,535.0,11,158.0
12.0,540.0,11,143.0
15.0,545.0,13,170.0
-27.0,550.0,21,250.0
-80.0,555.0,18,336.0
-86.0,560.0,16,357.0
-21.0,565.0,17,370.0
-13.0,570.0,11,385.0
-15.0,575.0,17,396.0
-11.0,580.0,16,388.0
8.0,585.0,14,351.0
37.0,590.0,18,370.0
-19.0,595.0,24,381.0
-11.0,600.0,14,326.0
55.0,605.0,10,304.0
22.0,610.0,16,332.0
-28.0,615.0,17,382.0
-50.0,620.0,18,387.0
-5.0,625.0,21,414.0
-27.0,630.0,28,541.0
-127.0,635.0,24,566.0
-25.0,640.0,28,569.0
-3.0,645.0,23,603.0
-34.0,650.0,19,567.0
36.0,655.0,16,504.0
63.0,660.0,16,421.0
83.0,665.0,21,369.0
52.0,670.0,16,393.0
-24.0,675.0,12,385.0
8.0,680.0,18,391.0
-6.0,685.0,29,448.0
-57.0,690.0,18,460.0
-12.0,695.0,19,463.0
-3.0,700.0,14,401.0
62.0,705.0,18,357.0
44.0,710.0,16,364.0
-7.0,715.0,20,398.0
-34.0,720.0,21,418.0
-20.0,725.0,15,362.0
56.0,730.0,18,343.0
19.0,735.0,12,349.0
-6.0,740.0,14,317.0
32.0,745.0,11,246.0
71.0,750.0,13,208.0
38.0,755.0,13,228.0
-20.0,760.0,13,240.0
-12.0,765.0,14,270.0
-30.0,770.0,9,261.0
9.0,775.0,19,221.0
40.0,780.0,14,210.0
11.0,785.0,11,211.0
-1.0,790.0,9,210.0
1.0,795.0,15,229.0
-19.0,800.0,14,239.0
-10.0,805.0,12,236.0
3.0,810.0,13,198.0
38.0,815.0,13,214.0
-16.0,820.0,19,242.0
-28.0,825.0,15,278.0
-36.0,830.0,18,306.0
-28.0,835.0,16,322.0
-16.0,840.0,14,293.0
29.0,845.0,16,289.0
4.0,850.0,16,304.0
-15.0,855.0,20,347.0
-43.0,860.0,15,384.0
-37.0,865.0,24,392.0
-8.0,870.0,15,395.0
-3.0,875.0,9,359.0
36.0,880.0,12,297.0
62.0,885.0,15,299.0
-2.0,890.0,11,239.0
60.0,895.0,12,221.0
18.0,900.0,12,220.0
1.0,905.0,11,220.0
0.0,910.0,15,180.0
40.0,915.0,13,199.0
-19.0,920.0,17,279.0
-80.0,925.0,14,296.0
-17.0,930.0,13,289.0
7.0,935.0,16,294.0
-5.0,940.0,15,284.0
10.0,945.0,15,296.0
-12.0,950.0,14,297.0
-1.0,955.0,28,312.0
-15.0,960.0,16,352.0
-40.0,965.0,16,366.0
-14.0,970.0,12,341.0
25.0,975.0,14,295.0
46.0,980.0,13,275.0
20.0,985.0,17,256.0
19.0,990.0,17,299.0
-43.0,995.0,16,314.0
-15.0,1000.0,18,303.0
11.0,1005.0,9,262.0
41.0,1010.0,13,191.0
71.0,1015.0,9,188.0
3.0,1020.0,12,200.0
-12.0,1025.0,18,238.0
-38.0,1030.0,14,274.0
-36.0,1035.0,17,327.0
-53.0,1040.0,12,336.0
-9.0,1045.0,22,282.0
54.0,1050.0,11,245.0
37.0,1055.0,10,179.0
66.0,1060.0,12,161.0
18.0,1065.0,16,233.0
-72.0,1070.0,14,258.0
-25.0,1075.0,14,316.0
-58.0,1080.0,13,308.0
8.0,1085.0,10,249.0
59.0,1090.0,11,211.0
38.0,1095.0,10,230.0
-19.0,1100.0,15,245.0
-15.0,1105.0,14,259.0
-14.0,1110.0,9,225.0
34.0,1115.0,12,213.0
12.0,1120.0,16,257.0
-44.0,1125.0,14,268.0
-11.0,1130.0,14,278.0
-10.0,1135.0,23,313.0
-35.0,1140.0,14,326.0
-13.0,1145.0,12,298.0
28.0,1150.0,10,173.0
125.0,1155.0,14,189.0
-16.0,1160.0,13,207.0
-18.0,1165.0,11,221.0
-14.0,1170.0,15,219.0
2.0,1175.0,15,267.0
-48.0,1180.0,13,248.0
19.0,1185.0,13,229.0
19.0,1190.0,11,231.0
-2.0,1195.0,9,215.0
16.0,1200.0,8,153.0
62.0,1205.0,12,155.0
-2.0,1210.0,9,147.0
8.0,1215.0,13,154.0
-7.0,1220.0,7,146.0
8.0,1225.0,19,115.0
31.0,1230.0,7,102.0
13.0,1235.0,7,100.0
2.0,1240.0,9,86.0
14.0,1245.0,9,95.0
-9.0,1250.0,9,95.0
0.0,1255.0,9,124.0
-29.0,1260.0,14,181.0
-57.0,1265.0,9,188.0
-7.0,1270.0,12,152.0
36.0,1275.0,10,172.0
-20.0,1280.0,9,165.0
7.0,1285.0,7,148.0
17.0,1290.0,8,122.0
26.0,1295.0,13,156.0
-34.0,1300.0,8,143.0
13.0,1305.0,11,142.0
1.0,1310.0,10,191.0
-49.0,1315.0,23,255.0
-64.0,1320.0,9,238.0
17.0,1325.0,10,219.0
19.0,1330.0,9,162.0
57.0,1335.0,10,156.0
6.0,1340.0,16,185.0
-29.0,1345.0,11,218.0
-33.0,1350.0,13,235.0
-17.0,1355.0,14,251.0
-16.0,1360.0,14,229.0
22.0,1365.0,12,237.0
-8.0,1370.0,16,248.0
-11.0,1375.0,15,253.0
-5.0,1380.0,15,289.0
-36.0,1385.0,16,293.0
-4.0,1390.0,18,339.0
-46.0,1395.0,19,384.0
-45.0,1400.0,19,403.0
-19.0,1405.0,30,439.0
-36.0,1410.0,20,423.0
16.0,1415.0,17,448.0
-25.0,1420.0,20,459.0
-11.0,1425.0,20,439.0
20.0,1430.0,22,452.0
-13.0,1435.0,18,489.0
-37.0,1440.0,21,505.0
-16.0,1445.0,17,507.0
-2.0,1450.0,23,473.0
34.0,1455.0,19,450.0
23.0,1460.0,20,390.0
60.0,1465.0,22,452.0
-62.0,1470.0,17,479.0
-27.0,1475.0,16,479.0
0.0,1480.0,14,417.0
62.0,1485.0,13,373.0
44.0,1490.0,14,327.0
46.0,1495.0,23,285.0
42.0,1500.0,18,290.0
-5.0,1505.0,23,390.0
-100.0,1510.0,21,433.0
-43.0,1515.0,22,480.0
-47.0,1520.0,20,507.0
-27.0,1525.0,17,504.0
3.0,1530.0,17,427.0
77.0,1535.0,19,481.0
-54.0,1540.0,19,515.0
-34.0,1545.0,22,540.0
-25.0,1550.0,21,521.0
19.0,1555.0,18,485.0
36.0,1560.0,20,444.0
41.0,1565.0,27,544.0
-100.0,1570.0,22,584.0
-40.0,1575.0,17,601.0
-17.0,1580.0,18,607.0
-6.0,1585.0,25,553.0
54.0,1590.0,17,541.0
12.0,1595.0,19,491.0
50.0,1600.0,20,455.0
36.0,1605.0,18,456.0
-1.0,1610.0,18,466.0
-10.0,1615.0,17,442.0
24.0,1620.0,22,460.0
-18.0,1625.0,20,517.0
-57.0,1630.0,21,549.0
-32.0,1635.0,15,509.0
40.0,1640.0,18,561.0
-52.0,1645.0,17,534.0
27.0,1650.0,18,515.0
19.0,1655.0,19,545.0
-30.0,1660.0,22,549.0
-4.0,1665.0,25,616.0
-67.0,1670.0,23,669.0
-53.0,1675.0,33,682.0
-13.0,1680.0,21,693.0
-11.0,1685.0,28,716.0
-23.0,1690.0,27,740.0
-24.0,1695.0,24,687.0
53.0,1700.0,20,672.0
15.0,1705.0,23,614.0
58.0,1710.0,26,649.0
-35.0,1715.0,26,654.0
-5.0,1720.0,22,649.0
5.0,1725.0,21,658.0
-9.0,1730.0,23,629.0
29.0,1735.0,20,617.0
12.0,1740.0,20,622.0
-5.0,1745.0,26,655.0
-33.0,1750.0,22,689.0
-34.0,1755.0,23,665.0
24.0,1760.0,22,696.0
-31.0,1765.0,33,683.0
13.0,1770.0,22,709.0
-26.0,1775.0,26,699.0
10.0,1780.0,30,666.0
33.0,1785.0,27,726.0
-60.0,1790.0,26,748.0
-22.0,1795.0,21,718.0
30.0,1800.0,24,726.0
-8.0,1805.0,23,672.0
54.0,1810.0,27,641.0
31.0,1815.0,24,676.0
-35.0,1820.0,25,683.0
-7.0,1825.0,25,645.0
38.0,1830.0,23,667.0
-22.0,1835.0,23,620.0
47.0,1840.0,18,588.0
32.0,1845.0,20,607.0
-19.0,1850.0,22,606.0
1.0,1855.0,33,663.0
-57.0,1860.0,21,684.0
-21.0,1865.0,26,686.0
-2.0,1870.0,28,745.0
-59.0,1875.0,24,751.0
-6.0,1880.0,22,710.0
41.0,1885.0,23,591.0
119.0,1890.0,26,587.0
4.0,1895.0,22,481.0
106.0,1900.0,24,511.0
-30.0,1905.0,21,540.0
-29.0,1910.0,21,527.0
13.0,1915.0,23,536.0
-9.0,1920.0,19,547.0
-11.0,1925.0,22,529.0
18.0,1930.0,19,524.0
5.0,1935.0,22,520.0
4.0,1940.0,22,489.0
31.0,1945.0,31,489.0
0.0,1950.0,24,508.0
-19.0,1955.0,19,532.0
-24.0,1960.0,17,483.0
49.0,1965.0,20,476.0
7.0,1970.0,18,456.0
20.0,1975.0,13,364.0
92.0,1980.0,17,301.0
63.0,1985.0,14,305.0
